Text,Class
How can you create a productive and inspiring home office space?,OC
What are the benefits of volunteering for a cause you're passionate about?,OC
How do you prepare a gourmet-style three-course meal for a special occasion?,OC
What are the best practices for improving your credit score and financial health?,OC
How can you plan a successful road trip adventure with friends or family?,OC
What are the steps to becoming a skilled and confident public speaker?,OC
How do you choose the perfect gift for a loved one's milestone celebration?,OC
What are the strategies for teaching children valuable life skills and values?,OC
How can you effectively plan and execute a DIY home renovation project?,OC
What are the top strategies for setting and achieving personal fitness goals?,OC
How do you choose the right pet for your family's lifestyle and preferences?,OC
What are the benefits of practicing mindfulness and gratitude in your daily routine?,OC
How can you create a stunning and Instagram-worthy home interior design?,OC
What are the key considerations for planning a memorable cross-country road trip?,OC
How do you select the best educational resources for homeschooling your children?,OC
What are the essential tips for aspiring writers looking to publish their first book?,OC
How can you organize and optimize your digital life for improved productivity?,OC
What are the steps to planning a successful surprise party for a loved one?,OC
How do you choose the ideal hiking trail for an adventurous weekend getaway?,OC
What are the best strategies for effectively managing and reducing debt?,OC
How can you create a personalized and effective workout routine for yourself?,OC
What are the latest trends in sustainable living and eco-friendly lifestyle choices?,OC
How do you plan a memorable and budget-friendly staycation in your own city?,OC
What is the average click rate for the recent phishing campaigns?,DB
Which user had the highest susceptibility to recent phishing attacks?,DB
Provide statistics on the minimum and maximum completion times for the recent cyber security awareness training.,DB
Name the top 5 users with the highest click rates in the last phishing campaign.,DB
What is the most common type of phishing attack observed in recent simulations?,DB
How many users have completed the latest anti-phishing training?,DB
Enlist the top 10 users with the lowest phishing susceptibility percentage.,DB
What is the average time it takes for a user to report a phishing email?,DB
Which email template resulted in the lowest click rate in recent campaigns?,DB
How many users participated in the last anti-phishing simulation?,DB
What is the overall completion rate for the latest security awareness training?,DB
Provide statistics on the minimum and maximum duration of the recent attack simulations.,DB
Who are the top 3 repeated offenders in the recent anti-phishing campaigns?,DB
What is the average susceptibility percentage for users in the last phishing simulation?,DB
Which user had the highest click rate in the most recent phishing campaign?,DB
How many users completed the latest cyber security training within the specified timeframe?,DB
Enlist the top 5 compromised users in the recent attack simulations.,DB
What is the most effective payload used in recent anti-phishing campaigns?,DB
Provide statistics on the minimum and maximum duration of the recent phishing simulations.,DB
How many users participated in the last anti-phishing campaign?,DB
What is the average susceptibility percentage for users in recent simulations?,DB
Which user had the highest susceptibility to recent attack simulations?,DB
How many users completed the latest phishing awareness training?,DB
Enlist the top 3 users with the highest click rates in recent phishing simulations.,DB
What is the average time it takes for a user to complete the latest security training?,DB
What is the maximum number of compromised users observed in recent phishing campaigns?,DB
How many users have completed the most recent cyber security awareness training?,DB
Provide statistics on the minimum and maximum click rates in recent anti-phishing campaigns.,DB
What is the average completion time for users in the recent attack simulations?,DB
Who are the top 10 repeated offenders in the recent phishing simulations?,DB
What is the most common type of attack in recent anti-phishing campaigns?,DB
How many users participated in the last attack simulation?,DB
Enlist the top 5 users with the lowest phishing susceptibility percentages.,DB
What is the average susceptibility percentage for users in recent anti-phishing simulations?,DB
Which email template resulted in the highest click rate in the most recent phishing campaign?,DB
What is the maximum number of compromised users observed in recent anti-phishing simulations?,DB
How many users completed the latest phishing awareness training within the specified timeframe?,DB
Provide statistics on the minimum and maximum completion times for the recent attack simulations.,DB
What is the average click rate for the recent anti-phishing campaigns?,DB
Which user had the lowest susceptibility to recent phishing attacks?,DB
Enlist the top 3 users with the highest click rates in recent anti-phishing simulations.,DB
What is the average completion time for users in recent anti-phishing campaigns?,DB
How many users have completed the latest phishing training?,DB
What is the most effective payload used in recent phishing campaigns?,DB
Provide statistics on the minimum and maximum susceptibility percentages in recent simulations.,DB
What is the maximum number of compromised users observed in recent attack simulations?,DB
How many users participated in the last phishing campaign?,DB
Enlist the top 10 users with the highest phishing susceptibility percentages.,DB
What is the average susceptibility percentage for users in recent phishing simulations?,DB
What is the maximum number of compromised users observed in recent phishing simulations?,DB
How I can reduce my attack Susceptibility/ Phish-prone / prone percentage/phish-prone percentage? Or How I can educate my users/end users? Or How I can reduce the click rates of users/end users?,OE
The best attack techniques to reduce the clicks? Or Most attack techniques by attackers? ,OE
Which security awareness training has the most impact on the end users? Or how I can select the best security awareness training for end users? Or The best-recommended training by PHISHCODE. Or which security awareness training is effective for reducing phishing risk or provides awareness to end users.,OE
Name the best email templates/payloads that can reduce the click rate / Phish-prone / prone percentage/phish-prone percentage? Or which email templates/payloads should I run to get the best results?,OE
How we can educate repeat offenders?,OE
Please provide the metrics about the latest Attack simulation/Simulation/Campaign/Anti-phishing campaign.,OE
How frequently should we conduct phishing simulations or anti-phishing campaigns?,OE
Can you suggest some tips for creating engaging and effective security awareness training content?,OE
How can I measure the effectiveness of my organization's anti-phishing efforts?,OE
What are some common signs of a phishing email that users should be trained to recognize?,OE
How can I encourage employees to report suspicious emails promptly?,OE
What role does employee awareness play in overall cybersecurity?,OE
How can organizations stay updated on the latest phishing trends and attack techniques?,OE
Can you recommend any tools or platforms to help organizations with phishing awareness and training?,OE
How can I reduce my attack Susceptibility/ Phish-prone...?,OE
The best attack techniques to reduce the clicks...?,OE
Which security awareness training has the most impact...?,OE
Name the best email templates/payloads that can reduce...?,OE
How we can educate repeat offenders?,OE
Please provide the metrics about the latest Attack simulation...?,OE
How can I reduce my attack susceptibility or phish-prone percentage?,OE
What are the most effective attack techniques to reduce click rates?,OE
Which security awareness training is most impactful for end users?,OE
What are the best email templates/payloads to reduce the click rate?,OE
How can I educate repeat offenders in cybersecurity awareness?,OE
What metrics are available for the latest anti-phishing campaign?,OE
How frequently should we conduct phishing simulations or anti-phishing campaigns?,OE
Can you suggest tips for creating engaging security awareness training content?,OE
How can I measure the effectiveness of our anti-phishing efforts?,OE
What are common signs of a phishing email that users should recognize?,OE
How can I encourage employees to report suspicious emails promptly?,OE
What role does employee awareness play in overall cybersecurity?,OE
How can organizations stay updated on the latest phishing trends and attack techniques?,OE
Can you recommend tools or platforms for phishing awareness and training?,OE
What role do simulated phishing campaigns play in user education?,OE
How can I tailor phishing awareness training to different departments in my organization?,OE
Are there any industry-specific phishing threats that organizations should be aware of?,OE
How can I encourage a security-aware culture within my organization?,OE
Can you provide examples of real-world phishing scenarios for training purposes?,OE
How can organizations ensure that their security awareness training stays up to date with evolving threats?,OE
What steps can employees take to verify the authenticity of an email before taking any action?,OE
How can organizations balance security awareness training with employee productivity?,OE
Are there any legal and compliance considerations organizations should keep in mind when conducting phishing simulations?,OE
What strategies can organizations use to reinforce security awareness training over time?,OE
Retrieve all training templates.,DB
Find the details of a specific training template.,DB
List all training templates that are for phishing.,DB
Retrieve the title and description of training templates with thumbnails.,DB
Count the total number of training templates.,DB
Retrieve training hub templates.,DB
Find training templates associated with a specific training hub.,DB
Find training hubs that have associated templates.,DB
Find training templates that have no associated training hub.,DB
Retrieve training templates with their associated file paths.,DB
List all training templates created after a specific date.,DB
"Retrieve the titles of training templates that belong to a particular category (e.g., ""Security"").",DB
Find the total count of training templates that are not for phishing and have thumbnails.,DB
Retrieve the IDs and descriptions of training templates associated with a specific training hub.,DB
Find training hubs that have more than 5 associated templates.,DB
Retrieve training templates ordered by their creation date in descending order.,DB
List training templates that have a compromise rate greater than 0.75.,DB
"Retrieve training templates with their associated file paths and thumbnails, ordered by their title.",DB
Find training templates that have the same title as another template.,DB
Count the number of training hub templates for each training hub.,DB
List all projects that are currently enabled.,DB
Retrieve the name and description of a specific project by its ID.,DB
Find the project lead's ID for a specific project by its name.,DB
Count the total number of projects in the database.,DB
List all projects with their company IDs.,DB
Retrieve project details for projects owned by a specific admin.,DB
Find projects that belong to a specific company by its ID.,DB
Retrieve the name and type of projects that have avatars.,DB
List projects along with the names of their project leads.,DB
Find the projects that have the same project lead as another project.,DB
List all admins who are associated with at least one project.,DB
Retrieve the names and descriptions of projects owned by super admins.,DB
Find the total number of admins associated with a specific project.,DB
List all projects that do not have a company association.,DB
Retrieve project details and company information for projects with avatars.,DB
Find the names and emails of admins associated with a specific project.,DB
List all projects that are of a specific type.,DB
Retrieve the names and descriptions of projects owned by a specific admin.,DB
Find the names and email addresses of project leads for all projects.,DB
Count the total number of projects in each project type category.,DB
Retrieve all training templates with their titles and descriptions.,DB
List the IDs and file path IDs of training templates.,DB
Find the total number of training templates.,DB
Retrieve training templates that are marked as phishing.,DB
"Get the file extensions and MIME types of all documents in the ""Documents"" table.",DB
"List the node references and original names of documents in the ""Documents"" table.",DB
Retrieve documents with a size greater than a specific value.,DB
Find the documents with a specified file extension.,DB
Get the total duration (in seconds) of all documents.,DB
Retrieve training templates along with their associated document file paths and sizes.,DB
List the IDs and original names of documents that have no associated training templates.,DB
Find the titles and descriptions of training templates that were created before a specific date.,DB
Retrieve the IDs of documents that have a MIME type matching a specific value.,DB
"List the names, sizes, and extensions of documents ordered by size in descending order.",DB
Get the total count of documents with a specific MIME type.,DB
Find training templates that have both a file path and a thumbnail assigned.,DB
Retrieve documents with a size between two specific values.,DB
List the original names and extensions of documents that have a specific extension and are larger than a certain size.,DB
"Find the average size of all documents in the ""Documents"" table.",DB
Get training templates that have been updated since a specific date.,DB
Retrieve documents along with the total duration (in seconds) of all documents ordered by duration in ascending order.,DB
"Retrieve the total number of campaigns in the ""Campaign"" table.",DB
Find the names and owners of campaigns that have been executed.,DB
List the campaign names and subjects where the subject contains a specific keyword.,DB
"Get the unique campaign IDs from the ""Campaigns Log"" table.",DB
Retrieve campaigns that are scheduled and have reminders enabled.,DB
Find campaigns created by a specific owner.,DB
Get the names and launch statuses of campaigns ordered by name in ascending order.,DB
List campaign names and their associated email profile IDs.,DB
Find campaigns with auto-training enabled and specify the auto training IDs.,DB
Retrieve campaign names and execution statuses for campaigns that have been executed and have custom templates.,DB
"Count the total number of trained users for campaigns in the ""Campaigns Log"" table.",DB
List campaign names and their associated project IDs.,DB
Find campaigns with reminders and specify the frequency of reminders.,DB
Retrieve campaigns created within a specific timezone.,DB
Get the campaign names and their respective attack technique IDs.,DB
List campaign names and their total user counts in descending order of total users.,DB
Find campaigns with a specific email profile ID.,DB
Retrieve the campaign names and the number of caught users for campaigns that have caught users greater than a specific value.,DB
"List campaign names and the IDs of their associated projects after creating an index on the ""project_id"" column.",DB
"Add a foreign key constraint to the ""Campaigns Log"" table to reference the ""Campaign"" table's ID column.",DB
"Find the total number of admins in the ""Admins"" table.",DB
Retrieve the email and last name of all activated admins.,DB
List the first names and job roles of admins who are super admins.,DB
Get the unique usernames of all admins.,DB
Find admins with a specific job role.,DB
Retrieve the last names and email addresses of admins in descending order of their last names.,DB
List the email addresses and phone numbers of admins with a specified role ID.,DB
Find admins who work for a specific company based on the company ID.,DB
Get the first names and usernames of admins with a specific job role and who are super admins.,DB
Retrieve the email addresses and last names of admins whose last names contain a specific keyword.,DB
List the usernames and phone numbers of super admins working for a particular company based on the company ID.,DB
Find admins with a specified role ID and who have been activated.,DB
Retrieve the email addresses and job roles of admins whose first names contain a specific keyword and who are not super admins.,DB
List the usernames and email addresses of admins who have been verified within a specific time frame.,DB
"Find admins with a specific job role and who are super admins, and their corresponding role IDs.",DB
Retrieve the email addresses and job roles of admins working for a particular company and who have been activated.,DB
List the usernames and phone numbers of admins who have a specific role ID and work for a particular company based on the company ID.,DB
"Find admins with a specific job role, super admins, and who work for a particular company based on the company ID.",DB
"Retrieve the last names and email addresses of admins with a specific job role, working for a particular company, and who have been activated.",DB
"Find the total number of entries in the ""Training Hub"" table.",DB
"Retrieve the IDs and creation timestamps of all entries in the ""Training Videos"" table.",DB
List the names and descriptions of training videos that are enabled.,DB
Get the IDs and creation timestamps of training hub entries with training templates.,DB
"Find the unique names of training videos in the ""Training Videos"" table.",DB
Retrieve the names and poster IDs of training videos that are not enabled.,DB
List the IDs and update timestamps of training hub entries that have associated training templates.,DB
Get the descriptions and path IDs of training videos with specific names.,DB
Find training hub entries with associated training templates and creation timestamps within a specific time range.,DB
Retrieve the names and poster IDs of training videos with unique names.,DB
List the IDs and creation timestamps of training hub entries associated with training templates and not enabled.,DB
Get the descriptions and path IDs of training videos whose names start with a specific prefix.,DB
Find training hub entries with associated training templates and update timestamps that fall within a specific time range.,DB
Retrieve the names and poster IDs of training videos with descriptions containing a specific keyword.,DB
List the IDs and update timestamps of training hub entries with training templates that are not enabled.,DB
Get the descriptions and path IDs of training videos that have a specific poster ID.,DB
Find training hub entries with associated training templates and creation timestamps where the training videos are enabled.,DB
Retrieve the names and poster IDs of training videos with a specific path ID.,DB
List the IDs and creation timestamps of training hub entries with training templates where the associated training videos have specific names.,DB
Get the descriptions and path IDs of training videos with poster IDs that are associated with specific documents.,DB
Retrieve all email templates with their titles and descriptions.,DB
List all enabled attack techniques along with their descriptions.,DB
Find the total number of email templates in the database.,DB
Get the names and icons of attack techniques that are not enabled.,DB
Retrieve email templates with compromise rates greater than 0.5.,DB
List all unique attack technique names.,DB
Find email templates with specific brands and industries.,DB
Get the icons and descriptions of attack techniques that have a unique name.,DB
Retrieve email templates with compromise rates between 0.1 and 0.3.,DB
"List all attack techniques with descriptions containing the word ""phishing.""",DB
Find email templates created after a specific timestamp.,DB
Get the names and descriptions of attack techniques that are not enabled and have descriptions longer than 50 characters.,DB
Retrieve email templates with specific subject lines.,DB
List all attack techniques with unique names.,DB
Find email templates with specific brands and themes.,DB
Get the names and icons of attack techniques with icons that are not null.,DB
Retrieve email templates with descriptions that contain a specific keyword.,DB
List all enabled attack techniques ordered by their descriptions in ascending order.,DB
Find email templates with titles containing a specific phrase.,DB
Get the names and descriptions of attack techniques with descriptions similar to a specific one.,DB
Retrieve all email templates.,DB
Find the document with a specific ID.,DB
List all enabled email templates.,DB
Get the total number of email templates.,DB
Retrieve the titles and descriptions of email templates.,DB
Find email templates with a compromise rate greater than 0.5.,DB
List documents with a size greater than 1000.,DB
Get the names and themes of email templates with a subject containing 'security'.,DB
Find email templates associated with a specific technique ID.,DB
"Retrieve documents with specific extensions (e.g., PDF or DOCX).",DB
List email templates that have associated thumbnails.,DB
Find documents with a specific original name.,DB
Get email templates with a compromise rate between 0.2 and 0.5.,DB
Retrieve documents with a specific MIME type.,DB
Find email templates created after a certain timestamp.,DB
List documents with a specific node reference.,DB
Get email templates with unique brands.,DB
Find documents with a specific path.,DB
Retrieve email templates sorted by compromise rate in descending order.,DB
Find documents with a specific extension and size.,DB
Retrieve all admin users.,DB
Find the admin with a specific username.,DB
List all enabled admin users.,DB
Get the total number of admin users.,DB
Retrieve the first and last names of admin users.,DB
Find admin users with the job role 'Manager'.,DB
List admins who are super admins.,DB
Get admin users with a specific phone number.,DB
Find admin users with activated accounts.,DB
Retrieve admins who belong to a specific company ID.,DB
List admin users who have a role with a specific name.,DB
Find admins with a specific email address.,DB
Get admin users who were verified before a certain timestamp.,DB
Retrieve admins sorted by their last names in ascending order.,DB
List admin users with unique job roles.,DB
Find admins who are not super admins and belong to a specific company.,DB
Get admin users who have not been activated.,DB
Find admin users with specific first names and last names.,DB
Retrieve admins with usernames that start with 'admin'.,DB
List admin users who have a specific role ID.,DB
Retrieve all training videos.,DB
Find the details of a specific training video by its unique name.,DB
List all enabled training videos.,DB
Get the total number of training videos.,DB
Retrieve the descriptions of all training videos.,DB
Find training videos with a specific description.,DB
List training videos with a specific poster ID.,DB
Get training videos with a specific path ID.,DB
Find training videos created after a certain timestamp.,DB
Retrieve training videos with unique names.,DB
List training videos with descriptions containing a specific keyword.,DB
Find training videos with a specific poster ID and path ID.,DB
Retrieve training videos sorted by their names in ascending order.,DB
List training videos sorted by their creation timestamps in descending order.,DB
Find training videos with a specific poster ID or path ID.,DB
Get training videos with descriptions that do not contain a specific keyword.,DB
Retrieve training videos that are not enabled.,DB
List training videos with descriptions that are NULL.,DB
Find training videos with specific names and descriptions.,DB
Retrieve all campaigns.,DB
Find a campaign by its unique ID.,DB
List all enabled campaigns.,DB
Get the total number of campaigns.,DB
Retrieve the names of all campaigns.,DB
Find campaigns with a specific name.,DB
List campaigns associated with a specific project.,DB
Get campaigns with a specific technique ID.,DB
Find campaigns created after a certain timestamp.,DB
Retrieve campaigns sorted by their names in ascending order.,DB
List campaigns sorted by their creation timestamps in descending order.,DB
Find campaigns with a specific owner and status.,DB
Get campaigns with a specific email profile ID.,DB
Retrieve campaigns with custom templates.,DB
List campaigns with scheduled launches.,DB
Find campaigns with auto-training enabled.,DB
Get campaigns with reminders.,DB
Retrieve campaigns with specific timezones.,DB
Find campaigns that are not enabled.,DB
List campaigns with an auto-training ID or reminders.,DB
Retrieve all users.,DB
Find a user by their unique ID.,DB
List all enabled users.,DB
Get the total number of users.,DB
Retrieve the first and last names of all users.,DB
Find users with a specific email.,DB
List users associated with a specific company.,DB
Get users with a specific project ID.,DB
Find users with a specific role ID.,DB
Retrieve users who are offended and compromised.,DB
List users with a specific project and role.,DB
Find users created after a certain timestamp.,DB
Get users who are simulated but not compromised.,DB
Retrieve users sorted by their last names in ascending order.,DB
List users sorted by their creation timestamps in descending order.,DB
Find users with a specific country and industry in their company.,DB
Get users with a specific company size range.,DB
Retrieve users who are not enabled.,DB
Find users without a project association.,DB
Retrieve all admin-project associations.,DB
Find an admin-project association by admin ID and project ID.,DB
List all enabled admin-project associations.,DB
Get the total number of admin-project associations.,DB
Retrieve admin-project associations for a specific admin.,DB
List admin-project associations for a specific project.,DB
Find admin-project associations for a specific company.,DB
